state,pos_x,pos_y
AL,7.0,1.0
FL,8.0,0.0 
GA,8.0,1.0 
MS,6.0,1.0 
TN,7.0,2.0 
AR,5.0,2.0 
LA,5.0,1.0 
MO,5.0,3.0 
OK,4.0,2.0 
TX,4.0,1.0 
AZ,2.0,2.0 
CA,0.0,3.0 
NM,3.0,2.0 
NV,1.0,3.0 
UT,2.0,3.0 
OR,1.0,4.0 
CO,3.0,3.0 
KS,4.0,3.0 
NE,4.0,4.0 
WY,3.0,4.0 
CT,11.0,4.0 
MA,11.0,5.0 
NY,10.0,5.0 
RI,12.0,4.0 
DC,9.0,2.0 
MD,9.0,3.0 
VA,8.0,2.0 
DE,10.0,3.0 
NJ,10.0,4.0 
PA,9.0,4.0 
NC,9.0,1.0 
SC,9.0,0.0 
IA,5.0,4.0 
IL,6.0,4.0 
MN,5.0,5.0 
SD,4.0,5.0 
WI,6.0,5.0 
ID,2.0,4.0 
MT,3.0,5.0 
WA,1.0,5.0 
IN,7.0,4.0 
KY,7.0,3.0 
MI,7.0,5.0 
OH,8.0,4.0 
WV,8.0,3.0 
NH,11.0,6.0 
VT,10.0,6.0 
ME,12.0,6.0 
ND,4.0,6.0
